Year,Arroyo_Seco_Reconstruction_Flow_TAF,Arroyo_Seco_Lower_50Percent_Flow_TAF,Arroyo_Seco_Flow_Upper_50Percent_Flow_TAF,SanGab_Reconstruction_Precip_inches,SanGab_Flow_Lower_50Percent_Precip_inches,SanGab_Flow_Upper_50Percent_Precip_inches,SantaAna_Reconstruction_Flow_TAF,SantaAna_Lower_50Percent_Flow_TAF,SantaAna_Upper_50Percent_Flow_TAF,LakeArrow_Reconstruction_Precip_inches,LakeArrow_Lower_50Percent_Precip_inches,LakeArrow_Upper_50Percent_Precip_inches,Ojai_Reconstruction_Precip_inches,Ojai_Lower_50Percent_Precip_inches,Ojai_Upper_50Percent_Precip_inches,Cuyam_Reconstruction_Precip_inches,Cuyam_Lower_50Percent_Precip_inches,Cuyam_Upper_50Percent_Precip_inches,Kern_Reconstruction_Flow_TAF,Kern_Lower_50Percent_Flow_TAF,Kern_Upper_50Percent_Flow_TAF,Colo_Reconstruction_Flow_TAF,Colo_Lower_50Percent_Confidence_Flow_TAF,Colo_Upper_50Percent_Confidence_Flow_TAF
1143,2.689,1.416,5.698,21.10,16.20,28.55,23.756,16.164,34.219,32.00,24.87,43.29,14.91,11.42,19.07,25.25,19.28,30.89,350.553,260.205,538.831,14289.254,11958.584,16677.430
1144,2.650,1.433,5.521,20.96,16.09,28.39,22.998,15.732,32.867,31.69,24.62,42.87,14.43,11.07,18.42,24.54,18.67,29.95,329.903,245.117,515.847,15402.149,13012.640,17830.740
1145,2.671,1.424,5.614,20.72,15.89,28.13,22.595,15.501,32.147,32.02,24.89,43.33,14.43,11.07,18.42,24.70,18.80,30.16,313.978,233.528,498.099,16097.432,13650.507,18568.673
1146,2.373,1.533,4.279,18.55,14.22,25.71,19.075,13.487,25.910,27.39,21.14,36.93,13.20,10.26,16.69,21.46,16.02,25.89,275.766,205.892,455.414,10224.116,8187.385,12543.593
1147,3.935,1.675,9.196,24.98,19.08,33.24,31.327,19.516,49.696,40.47,30.65,54.34,19.37,14.60,25.03,29.44,22.91,36.58,515.486,384.523,721.338,11038.167,8935.109,13374.945
1148,2.609,1.449,5.336,19.03,14.58,26.25,22.914,15.684,32.717,27.34,21.10,36.86,14.02,10.81,17.84,23.87,18.09,29.06,329.605,244.900,515.515,9982.468,7965.884,12296.812
1149,3.039,1.328,7.100,23.98,18.39,31.90,28.977,18.971,43.911,34.86,26.77,47.82,17.17,13.11,21.93,29.84,23.26,37.12,436.196,323.859,633.801,11607.475,9461.957,13955.290
1150,2.617,1.446,5.374,19.41,14.87,26.68,22.823,15.632,32.555,29.47,22.81,39.83,14.18,10.92,18.08,22.88,17.23,27.75,335.068,248.885,521.603,8945.445,7018.314,11237.764
1151,2.212,1.578,3.567,15.47,11.83,22.23,14.944,10.794,20.720,23.01,17.68,30.76,11.37,8.97,14.15,19.15,14.01,23.35,192.034,135.559,366.853,9272.964,7317.573,11572.239
1152,2.854,1.358,6.407,24.27,18.50,32.35,27.178,18.113,40.353,37.12,28.28,50.81,16.91,12.92,21.60,28.66,22.23,35.50,405.044,300.410,599.358,11173.145,9059.751,13512.793
1153,2.666,1.426,5.592,21.85,16.82,29.37,25.365,17.081,37.096,30.92,23.99,41.82,14.54,11.15,18.58,26.28,20.16,32.27,375.506,278.535,566.575,11886.405,9721.148,14238.630
1154,2.621,1.445,5.388,20.16,15.44,27.52,22.827,15.634,32.561,30.84,23.92,41.70,14.44,11.08,18.44,25.21,19.25,30.85,332.024,246.660,518.211,10127.567,8098.749,12444.993
1155,2.803,1.366,6.212,22.64,17.47,30.24,25.125,16.945,36.665,33.81,26.24,45.94,15.37,11.77,19.64,26.98,20.77,33.22,360.276,267.330,549.644,13230.584,10973.365,15598.072
1156,2.570,1.464,5.160,20.53,15.74,27.93,23.282,15.893,33.372,29.74,23.03,40.20,14.14,10.89,18.02,23.49,17.77,28.57,352.774,261.828,541.301,13039.302,10798.675,15404.090
1157,3.408,1.340,8.269,24.27,18.50,32.35,30.572,19.341,47.829,36.01,27.40,49.55,18.30,13.90,23.44,31.41,24.64,39.27,488.396,363.580,691.477,12488.518,10286.805,14847.225
