Year ,KLK_Reconstruction_Flow_AF,KLK_Lower_50_Percent_Flow_AF,KLK_Upper_50_Percent_Flow_AF,TRN_Reconstruction_Flow_AF,TRN_Lower_50_Percent_Flow_AF,TRN_Upper_50_Percent_Flow_AF,KFL_Reconstruction_Precip_Inches,KFL_Lower_50_Percent_Precip_Inches,KFL_Upper_50_Percent_Precip_Inches,KFS_Reconstruction_Precip_Inches,KFS_Lower_50_Percent_Precip_Inches,KFS_Upper_50_Percent_Precip_Inches,WEA_Reconstruction_Precip_Inches,WEA_Lower_50_Percent_Precip_Inches,WEA_Upper_50_Percent_Precip_Inches,YRK_Reconstruction_Precip_Inches,YRK_Lower_50_Percent_Precip_Inches,YRK_Upper_50_Percent_Precip_Inches,FTO_Reconstruction_Flow_AF,FTO_Lower_50_Percent_Flow_AF,FTO_Upper_50_Percent_Flow_AF,YRS_Reconstruction_Flow_AF,YRS_Lower_50_Percent_Flow_AF,YRS_Upper_50_Percent_Flow_AF,AMF_Reconstruction_Flow_AF,AMF_Lower_50_Percent_Flow_AF,AMF_Upper_50_Percent_Flow_AF,SBB_Reconstruction_Flow_AF,SBB_Lower_50_Percent_Flow_AF,SBB_Upper_50_Percent_Flow_AF,SAC4_Reconstruction_Flow_AF,SAC4_Lower_50_Percent_Flow_AF,SAC4_Upper_50_Percent_Flow_AF,SNS_Reconstruction_Flow_AF,SNS_Lower_50_Percent_Flow_AF,SNS_Upper_50_Percent_Flow_AF,TLG_Reconstruction_Flow_AF,TLG_Lower_50_Percent_Flow_AF,TLG_Upper_50_Percent_Flow_AF,MRC_Reconstruction_Flow_AF,MRC_Lower_50_Percent_Flow_AF,MRC_Upper_50_Percent_Flow_AF,SJF_Reconstruction_Flow_AF,SJF_Lower_50_Percent_Flow_AF,SJF_Upper_50_Percent_Flow_AF,SJQ4_Reconstruction_Flow_AF,SJQ4_Lower_50_Percent_Flow_AF,SJQ4_Upper_50_Percent_Flow_AF
912,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,5390500,4055200,6930300,2589500,1873800,3207100,2957600,2128000,3843300,9961000,8064500,12608000,21422000,16666000,26750000,1258900,915170,1650900,1981400,1497800,2556900,1019200,728490,1372400,1922800,1413800,2530500,6167200,4580100,8087400
913,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,2534000,1950700,2583000,1226800,901980,1542900,1283600,1233600,1615800,5595700,4602000,6766000,10709000,8422400,10787000,558090,412520,690760,972690,732630,1175700,468100,334660,595370,897580,695270,1131500,2899700,2178100,3553500
914,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,7115600,6167700,8610200,3779000,3232900,4301500,4687300,3912300,5361200,12355000,10219000,15126000,27843000,23789000,33142000,1907200,1642500,2370900,3122000,2653100,3706000,1633600,1332000,1979300,2961200,2180300,3578900,9524900,7683100,11059000
915,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,2766300,2087100,3460500,1251900,916440,1576100,1313300,1263300,1657900,6005700,4867500,7407100,11658000,9007600,13980000,575830,422320,715140,995070,747350,1206700,475020,338770,605300,955280,729500,1213800,2973300,2223100,3658600
916,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,5952100,4680500,7512000,3265700,2590500,3876600,3952700,3114000,4830500,10482000,8544200,13172000,23445000,18808000,28901000,1717800,1400100,2183200,2751500,2257100,3392600,1486100,1176100,1889000,2688700,2032100,3321700,8613200,6857000,10607000
917,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,4872300,3573100,6331200,2583100,1868500,3199900,2990900,2156600,3885200,9296600,7446800,11846000,19544000,14795000,24477000,1293900,947790,1698200,2068200,1574100,2665500,1090200,788530,1465300,1938800,1425300,2549600,6435000,4818300,8424000
918,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,3151300,2318500,4048600,1582600,1117100,2006800,1732100,1195600,2243600,6637700,5288100,8386000,13155000,9948100,16185000,764170,533930,969050,1297200,955320,1615300,645370,446180,845200,1231900,904570,1596800,3906000,2824000,4965500
919,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,4096500,2963800,5389200,2315400,1646200,2893500,2637600,1847100,3439200,8021800,6327700,10323000,16703000,12439000,21006000,1138000,809220,1482200,1863100,1399000,2394100,971570,689600,1306400,1800400,1322600,2375100,5721600,4208500,7480100
920,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,5255300,3919900,6784000,2822900,2078900,3449900,3310100,2456100,4251700,9707200,7829200,12327000,20928000,16153000,26170000,1436200,1095700,1880600,2305400,1801300,2940100,1239600,927150,1639500,2275800,1705600,2900600,7208500,5548100,9310900
921,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,3286400,2401700,4255600,1664200,1172200,2108500,1815100,1248000,2355000,6814700,5408200,8659100,13654000,10267000,16920000,789780,551250,1002400,1332800,981980,1661800,661100,457160,866460,1261500,925260,1636600,4013700,2900700,5110700
